No,Country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
101,Israel ,NEAR EAST                          ,6352117.00 ,20770.00 ,305.8,1.31,0.68,7.03,19800,95.4,462.3,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657
195,Swaziland ,SUB-SAHARAN AFRICA                 ,1136334.00 ,17363.00 ,65.5,0,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366
117,Lesotho ,SUB-SAHARAN AFRICA                 ,2022331.00 ,30355.00 ,66.6,0,-0.74,84.23,3000,84.8,23.7,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394
61,Egypt ,NORTHERN AFRICA                    ,78887007.00 ,1001450.00 ,78.8,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493
185,Singapore ,ASIA (EX. NEAR EAST)         ,4492150.00 ,693.00 ,6482.2,27.85,11.53,2.29,23700,92.5,411.4,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661
216,Uruguay ,LATIN AMER. & CARIB    ,3431932.00 ,176220.00 ,19.5,0.37,-0.32,11.95,12800,98,291.4,7.43,0.23,92.34,3,13.91,9.05,0.093,0.311,0.596
44,Colombia ,LATIN AMER. & CARIB    ,43593035.00 ,1138910.00 ,38.3,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
131,Marshall Islands ,OCEANIA                            ,60422.00 ,11854.00 ,5.1,3.12,-6.04,29.45,1600,93.7,91.2,16.67,38.89,44.44,2,33.05,4.78,0.317,0.149,0.534
135,Mayotte ,SUB-SAHARAN AFRICA                 ,201234.00 ,374.00 ,538.1,49.52,6.78,62.4,2600,0,49.7,0,0,0,2,40.95,7.7,0,0,0
45,Comoros ,SUB-SAHARAN AFRICA                 ,690948.00 ,2170.00 ,318.4,15.67,0,74.93,700,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56
110,"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019.00 ,120540.00 ,191.8,2.07,0,24.04,1300,99,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36
190,South Africa ,SUB-SAHARAN AFRICA                 ,44187637.00 ,1219912.00 ,36.2,0.23,-0.29,61.81,10700,86.4,107,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
159,Panama ,LATIN AMER. & CARIB    ,3191319.00 ,78200.00 ,40.8,3.18,-0.91,20.47,6300,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776
206,Tunisia ,NORTHERN AFRICA                    ,10175014.00 ,163610.00 ,62.2,0.7,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55
186,Slovakia ,EASTERN EUROPE                     ,5439448.00 ,48845.00 ,111.4,0,0.3,7.41,13300,0,220.1,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672
12,Australia ,OCEANIA                            ,20264082.00 ,7686850.00 ,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7
82,Grenada ,LATIN AMER. & CARIB    ,89703.00 ,344.00 ,260.8,35.17,-13.92,14.62,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766
163,Philippines ,ASIA (EX. NEAR EAST)         ,89468677.00 ,300000.00 ,298.2,12.1,-1.5,23.51,4600,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
172,Saint Helena ,SUB-SAHARAN AFRICA                 ,7502.00 ,413.00 ,18.2,14.53,0,19,2500,97,293.3,12.9,0,87.1,0,12.13,6.53,0,0,0
25,Bolivia ,LATIN AMER. & CARIB    ,8989046.00 ,1098580.00 ,8.2,0,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
193,Sudan ,SUB-SAHARAN AFRICA                 ,41236378.00 ,2505810.00 ,16.5,0.03,-0.02,62.5,1900,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
50,Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843.00 ,322460.00 ,54.8,0.16,-0.07,90.83,1400,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
78,Ghana ,SUB-SAHARAN AFRICA                 ,22409572.00 ,239460.00 ,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
152,Niger ,SUB-SAHARAN AFRICA                 ,12525094.00 ,1267000.00 ,9.9,0,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
208,Turkmenistan ,C.W. OF IND. STATES ,5042920.00 ,488100.00 ,10.3,0,-0.86,73.08,5800,98,74.6,3.72,0.14,96.14,1,27.61,8.6,0.209,0.38,0.411
99,Ireland ,WESTERN EUROPE                     ,4062235.00 ,70280.00 ,57.8,2.06,4.99,5.39,29600,98,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49
227,Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805.00 ,390580.00 ,31.3,0,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579
3,Algeria ,NORTHERN AFRICA                    ,32930091.00 ,2381740.00 ,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
211,Uganda ,SUB-SAHARAN AFRICA                 ,28195754.00 ,236040.00 ,119.5,0,0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469
132,Martinique ,LATIN AMER. & CARIB    ,436131.00 ,1100.00 ,396.5,31.82,-0.05,7.09,14400,97.7,394.4,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83
142,Morocco ,NORTHERN AFRICA                    ,33241259.00 ,446550.00 ,74.4,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,0,21.98,5.58,0.217,0.357,0.426
200,Tajikistan ,C.W. OF IND. STATES ,7320815.00 ,143100.00 ,51.2,0,-2.86,110.76,1000,99.4,33.5,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48
155,Norway ,WESTERN EUROPE                     ,4610820.00 ,323802.00 ,14.2,7.77,1.74,3.7,37800,100,461.7,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564
7,Anguilla ,LATIN AMER. & CARIB    ,13477.00 ,102.00 ,132.1,59.8,10.76,21.03,8600,95,460,0,0,100,2,14.17,5.34,0.04,0.18,0.78
14,Azerbaijan ,C.W. OF IND. STATES ,7961619.00 ,86600.00 ,91.9,0,-4.9,81.74,3400,97,137.1,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402
149,New Caledonia ,OCEANIA                            ,219246.00 ,19060.00 ,11.5,11.83,0,7.72,15000,91,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,0.088,0.762
60,Ecuador ,LATIN AMER. & CARIB    ,13547510.00 ,283560.00 ,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618
178,San Marino ,WESTERN EUROPE                     ,29251.00 ,61.00 ,479.5,0,10.98,5.73,34600,96,704.3,16.67,0,83.33,0,10.02,8.17,0,0,0
18,Barbados ,LATIN AMER. & CARIB    ,279912.00 ,431.00 ,649.5,22.51,-0.31,12.5,15700,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78
213,United Arab Emirates ,NEAR EAST                          ,2602713.00 ,82880.00 ,31.4,1.59,1.03,14.51,23200,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375
